GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4
8000,Colorado,2,  Private industries,299562.2,302610.1,308167.8,314910.3,320484,325599.2,329226,333994,337810.3,345282.2,353123.8,354466.4,353326.1,317091.4,346564.4,350996
8000,Colorado,3,"      Agriculture, forestry, fishing and hunting",2251.2,2426,2235.2,2394.7,2721.7,2707.7,2093.3,2084.3,1938.7,2042.2,2542.5,3023.2,3007.9,1715,2570.9,2450.1
8000,Colorado,6,"      Mining, quarrying, and oil and gas extraction",12494.1,13377.2,13681.3,15226.9,15586.4,16583.1,16995.1,16334,15199.1,15047.4,14578.1,13634.6,12235.4,5895,7735.1,8471.9
8000,Colorado,10,      Utilities,4009.8,3833.1,3886.8,3888.5,3975.2,3955.2,3911.6,3839.6,4446.8,4492.9,4575.4,4568.9,4779.9,4911.6,5151,5003.3
8000,Colorado,11,      Construction,19522.8,19499.2,20039.3,20582.9,21341.9,21498.6,21732.6,22301.6,22543.8,23231.5,23914.5,23718.1,23675.7,23330.4,23269.6,23791.7
8000,Colorado,12,      Manufacturing,22608.2,22282.7,22858.5,23253.7,23370.6,23901.7,24112.9,24996.4,24722.7,25247.9,25939.7,26273.5,25615.7,24401.6,26831.1,26887.8
8000,Colorado,13,          Durable goods manufacturing,14507.4,14629.1,15051.5,15464.4,15193.4,15665.3,15877.5,16581,16391.5,16554.1,16712.8,16617.5,16342.5,15448.8,16815,16812
8000,Colorado,25,          Nondurable goods manufacturing,8100.8,7653.6,7807,7789.3,8177.1,8236.4,8235.4,8415.4,8331.2,8693.7,9226.9,9656,9273.2,8952.8,10016.1,10075.8
8000,Colorado,34,      Wholesale trade,19309.4,19590.1,20009.9,20296.7,20212.8,20696.9,20981.1,21406.8,21718.3,21687.7,22501.9,23066.8,22477.2,20617.8,22963.5,23356.3
8000,Colorado,35,      Retail trade,18658.3,18404.2,18764.8,18893.6,19220.5,19373.5,19652.6,19744.9,20097.6,20520.6,20823.2,21047.7,21230.3,20178.8,22934.3,22896.1
8000,Colorado,36,      Transportation and warehousing,11760.6,12219.5,12190.9,12065.8,12643.2,12692.6,13080.3,13721.8,13257,13468.1,13572.8,12991,12749,9153,9659.4,10486.6
8000,Colorado,45,      Information,17946.2,17941.3,18879.7,19709.5,20856.1,20703.4,20656.6,21221,21821.7,23663.4,24019.1,23806.7,25962.7,23546.2,25689.3,26077.9
8000,Colorado,51,      Finance and insurance,19367.7,19190,19858.4,19885.2,21081.6,21554.3,21992.7,21550.7,21000.1,21877.8,22502,23591.9,22943.1,23957.6,24912.9,25628.3
8000,Colorado,56,      Real estate and rental and leasing,50675.1,51587.1,51904.3,52516.6,52721.4,53241.1,54129.4,54765.1,56584,58063.2,59330.6,59709.3,59741.4,57785.3,59673.8,60036.7
8000,Colorado,60,"      Professional, scientific, and technical services",32133.8,32758.2,33215.5,33970,34893.2,35417.6,35928.4,36842.6,38007.7,38504.2,40420.9,39705.4,40105.7,38269.9,39951.9,40444.3
8000,Colorado,64,      Management of companies and enterprises,7056.9,7803.6,7475,8362.9,7374.5,7453.1,7620.3,7403.2,8223.7,8310.8,8126.4,8898.7,8401.3,8229.6,8555.1,8749.1
8000,Colorado,65,      Administrative and support and waste management and remediation services,10742.1,10641.7,10817,10861.7,11036.8,11569.9,11553.6,12151,12102.5,12146.4,12354,12350.3,12345.3,11060.8,11904.9,12006.6
