,state,"Share with Subprime Credit Score, All","Share with Subprime Credit Score, Communities of Color","Share with Subprime Credit Score, Majority White Communities","Share with Any Debt in Collections, All","Share with Any Debt in Collections, Communities of Color","Share with Any Debt in Collections, Majority White Communities","Median Debt in Collections, All","Median Debt in Collections, Communities of Color","Median Debt in Collections, Majority White Communities","Average Credit Card Utilization, All","Average Credit Card Utilization, Communities of Color","Average Credit Card Utilization, Majority White Communities","Student Loan Delinquency Rate (60+), All","Student Loan Delinquency Rate (60+), Communities of Color","Student Loan Delinquency Rate (60+), Majority White Communities","Credit Card Delinquency Rate (30+), All","Credit Card Delinquency Rate (30+), Communities of Color","Credit Card Delinquency Rate (30+), Majority White Communities","Auto/Retail Loan Delinquency Rate (60+), All","Auto/Retail Loan Delinquency Rate (60+), Communities of Color","Auto/Retail Loan Delinquency Rate (60+), Majority White Communities","Mortgage Delinquency Rate (30+), All","Mortgage Delinquency Rate (30+), Communities of Color","Mortgage Delinquency Rate (30+), Majority White Communities","Share with AFS Credit, All","Share with AFS Credit, Communities of Color","Share with AFS Credit, Majority White Communities","AFS Credit Delinquency Rate (30+), All","AFS Credit Delinquency Rate (30+), Communities of Color","AFS Credit Delinquency Rate (30+), Majority White Communities","Median Credit Score, All","Median Credit Score, Communities of Color","Median Credit Score, Majority White Communities","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities","Share with Medical Debt in Collections, All","Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities"
257,AR,30.19,48.13,27.57,37.25,56.42,34.52,1656,1870,1634,30.59,39.02,29.72,13.48,20.46,12.27,5.64,11.06,5.22,4.75,8.85,4.25,1.95,3.21,1.83,3.59,4.74,3.43,5.29,5.99,4.96,672,601.0,676,662,725,656,20.01,23.15,19.37
258,AZ,22.87,35.94,16.21,30.29,44.8,22.9,2042,1975,2044,27.52,34.25,24.62,12.84,17.48,10.62,4.09,6.61,3.15,3.64,6.16,2.39,1.15,2.16,0.77,5.37,8.19,3.95,9.09,8.76,9.11,694,646.0,727,942,979,897,16.06,21.82,12.73
259,CA,17.96,21.8,11.99,23.2,27.54,16.52,1882,1906,1695,24.62,26.51,21.93,10.07,11.71,7.68,3.58,4.37,2.62,2.77,3.53,1.51,0.87,1.02,0.67,4.76,5.89,2.77,14.8,14.7,14.44,714,691.0,742,750,776,677,8.75,9.66,7.38
260,CO,17.8,31.36,14.5,23.21,38.71,19.35,1645,1396,1689,25.82,32.21,24.37,9.65,13.82,8.3,3.33,5.42,2.88,2.46,4.56,1.96,0.95,1.98,0.73,4.53,8.21,3.61,13.96,18.46,11.86,727,667.0,741,748,635,771,12.66,21.51,10.53
261,CT,18.6,36.59,12.66,24.53,43.07,18.11,1516,1439,1540,25.79,34.88,23.47,8.52,15.49,6.44,3.8,8.05,2.83,2.4,5.89,1.6,1.76,2.45,1.61,1.58,3.09,1.07,9.67,10.47,7.84,723,651.0,746,560,585,515,11.18,16.96,8.75
262,DC,22.37,32.4,5.5,25.75,36.27,7.43,1592,1627,1281,25.59,32.25,17.16,12.06,14.97,5.23,4.33,6.53,1.83,6.0,8.17,1.12,1.3,1.81,0.72,2.91,4.02,0.49,6.07,6.39,0.0,706,666.0,761,607,658,685,7.28,9.73,2.51
263,DE,23.15,39.62,18.41,30.93,49.63,25.49,1847,1867,1650,27.03,35.93,24.71,9.79,15.86,7.75,4.09,6.08,3.58,3.33,5.88,2.67,1.74,2.25,1.48,6.16,10.49,4.68,9.74,9.92,9.39,700,643.0,722,799,949,747,18.13,30.39,15.14
264,FL,24.32,31.02,19.78,32.53,39.24,27.72,2247,2332,2185,29.24,33.82,26.3,12.08,13.67,10.73,5.06,6.94,3.98,3.5,4.78,2.77,1.65,2.01,1.42,5.17,6.18,4.39,7.57,7.69,7.24,687,664.0,715,1065,1101,1036,17.95,19.94,16.14
265,GA,29.21,38.36,23.63,36.57,46.96,30.57,1968,2049,1915,32.33,37.66,29.77,12.93,16.25,10.33,5.64,8.46,4.41,5.11,7.18,3.96,1.98,2.41,1.69,6.24,8.58,4.86,7.02,7.98,6.07,671,640.0,689,952,919,1000,18.59,21.34,17.07
266,HI,15.07,15.16,18.33,18.42,18.37,22.5,1927,1930,0,25.36,25.31,26.35,10.23,9.87,0.0,3.19,3.27,3.08,3.25,3.47,0.0,1.34,1.38,0.0,4.16,4.29,2.5,10.76,10.96,0.0,725,725.0,704,455,459,0,6.94,6.87,5.83
