,state,"Share with Subprime Credit Score, All","Share with Subprime Credit Score, Communities of Color","Share with Subprime Credit Score, Majority White Communities","Share with Any Debt in Collections, All","Share with Any Debt in Collections, Communities of Color","Share with Any Debt in Collections, Majority White Communities","Median Debt in Collections, All","Median Debt in Collections, Communities of Color","Median Debt in Collections, Majority White Communities","Average Credit Card Utilization, All","Average Credit Card Utilization, Communities of Color","Average Credit Card Utilization, Majority White Communities","Student Loan Delinquency Rate (60+), All","Student Loan Delinquency Rate (60+), Communities of Color","Student Loan Delinquency Rate (60+), Majority White Communities","Credit Card Delinquency Rate (30+), All","Credit Card Delinquency Rate (30+), Communities of Color","Credit Card Delinquency Rate (30+), Majority White Communities","Auto/Retail Loan Delinquency Rate (60+), All","Auto/Retail Loan Delinquency Rate (60+), Communities of Color","Auto/Retail Loan Delinquency Rate (60+), Majority White Communities","Mortgage Delinquency Rate (30+), All","Mortgage Delinquency Rate (30+), Communities of Color","Mortgage Delinquency Rate (30+), Majority White Communities","Share with AFS Credit, All","Share with AFS Credit, Communities of Color","Share with AFS Credit, Majority White Communities","AFS Credit Delinquency Rate (30+), All","AFS Credit Delinquency Rate (30+), Communities of Color","AFS Credit Delinquency Rate (30+), Majority White Communities","Median Credit Score, All","Median Credit Score, Communities of Color","Median Credit Score, Majority White Communities","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities","Share with Medical Debt in Collections, All","Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities"
313,DC,21.61,31.3,5.23,25.48,36.15,6.82,1607,1641,1312,24.31,30.88,15.36,11.12,13.92,4.32,4.1,6.27,1.79,6.27,8.59,1.12,1.28,1.59,0.9,3.04,4.34,0.41,8.0,8.09,0.0,709,666.0,764,625,700,449,6.96,9.34,2.32
314,DE,22.61,38.21,17.94,30.57,49.14,25.02,1837,1929,1663,25.57,34.62,23.01,9.77,14.9,7.68,3.93,6.11,3.22,3.68,6.36,2.83,1.79,2.24,1.53,6.16,10.46,4.7,8.76,9.02,8.48,702,645.0,725,784,979,697,17.68,29.85,14.6
315,FL,23.86,30.55,19.28,32.56,39.39,27.69,2238,2328,2157,27.96,32.63,24.99,11.37,12.87,10.1,4.85,6.7,3.8,3.57,4.91,2.87,1.61,1.97,1.39,5.2,6.18,4.41,7.62,7.96,7.28,689,665.0,717,1056,1083,1026,17.88,19.97,16.01
316,GA,28.78,37.93,23.27,36.65,47.11,30.66,1996,2087,1924,30.91,36.3,28.39,12.56,15.73,10.04,5.52,8.34,4.26,5.24,7.51,3.99,1.96,2.65,1.69,6.28,8.62,4.88,6.94,7.73,6.26,672,642.0,691,953,919,996,18.86,21.51,17.41
317,HI,14.74,14.91,14.41,18.14,18.17,20.34,2090,2076,0,24.28,24.28,24.32,9.41,9.17,0.0,3.23,3.29,1.49,3.28,3.4,0.0,1.44,1.52,0.0,4.18,4.3,3.39,12.13,12.55,0.0,727,726.0,709,461,463,0,6.88,6.79,6.78
318,IA,16.81,46.2,16.12,21.88,51.9,21.1,1637,903,1671,22.51,27.42,22.25,9.3,0.0,9.03,2.86,9.09,2.76,1.99,0.0,1.94,1.37,0.0,1.33,2.88,2.53,2.8,7.1,0.0,7.05,731,608.0,734,607,0,608,10.56,14.56,10.18
319,ID,16.94,30.43,16.47,21.33,40.58,20.75,2248,0,2282,24.08,0.0,23.98,9.01,0.0,8.81,3.21,0.0,3.16,2.42,0.0,2.34,0.98,0.0,0.94,6.4,10.14,6.31,11.34,0.0,11.29,721,659.0,723,997,0,1013,12.42,24.64,12.07
320,IL,20.51,36.16,15.68,27.44,44.13,22.15,1506,1475,1538,24.53,32.35,22.6,9.72,16.17,7.63,3.62,6.58,2.87,3.54,6.42,2.83,1.76,2.66,1.63,4.51,7.83,3.47,9.19,10.86,8.02,713,650.0,736,646,630,658,14.49,20.2,12.72
321,IN,23.64,43.42,21.13,30.55,52.05,27.82,1872,1852,1877,26.41,35.64,25.59,12.2,20.3,10.99,4.03,8.13,3.69,3.5,7.28,3.11,1.78,3.82,1.68,5.96,9.79,5.47,6.97,8.35,6.54,691,620.0,704,814,731,834,18.92,30.49,17.55
322,KS,21.7,40.1,18.7,27.25,47.14,23.98,1737,1432,1757,24.72,32.2,23.61,12.07,23.81,10.88,3.31,6.9,2.9,2.59,4.35,2.22,1.59,1.79,1.54,4.4,6.06,4.0,8.07,14.37,7.3,707,641.0,722,840,795,842,17.36,30.42,15.36
323,KY,26.75,58.71,25.3,34.85,67.75,33.33,1305,1079,1313,26.52,38.08,26.02,13.18,19.23,12.93,4.46,12.79,4.25,4.06,8.57,3.84,1.74,6.42,1.71,5.43,8.31,5.15,7.15,10.78,7.02,678,560.0,684,505,573,500,18.46,35.59,17.75
324,LA,31.31,43.59,26.14,40.88,54.77,35.08,1919,1942,1922,30.26,35.78,28.41,12.44,15.41,10.47,5.44,7.91,4.58,6.21,9.55,4.98,2.36,3.8,1.9,6.82,9.74,5.62,17.7,20.76,15.19,669,623.0,682,853,838,868,23.04,28.5,20.8
325,MA,14.24,28.42,11.45,18.61,34.41,15.58,1612,1477,1680,21.78,31.21,20.53,7.13,12.49,6.07,3.21,6.47,2.71,2.12,4.4,1.73,1.26,1.85,1.19,1.66,4.22,1.23,9.22,7.76,10.34,737,668.0,749,402,430,395,4.77,7.42,4.29
326,MD,21.15,28.82,15.91,26.92,35.83,21.03,1595,1699,1488,26.89,32.84,23.84,9.98,12.29,7.9,4.35,6.12,3.33,3.54,4.87,2.59,1.91,2.76,1.5,3.87,5.48,2.8,6.23,6.77,5.14,708,670.0,736,529,572,493,12.04,14.89,10.41
327,ME,18.35,0.0,18.31,27.16,0.0,27.11,1728,0,1723,24.49,0.0,24.44,8.41,0.0,8.33,3.19,0.0,3.19,1.81,0.0,1.81,1.95,0.0,1.92,3.13,0.0,3.13,6.13,0.0,6.05,720,0.0,721,953,0,956,17.81,0.0,17.79
328,MI,20.5,45.23,16.95,27.85,56.05,23.81,1460,1752,1376,24.54,37.01,23.36,12.24,25.12,9.97,3.22,8.8,2.74,3.36,12.54,2.45,1.35,3.35,1.24,4.33,10.07,3.49,7.52,7.74,7.19,716,607.0,729,477,481,479,14.23,21.45,13.07
329,MN,11.46,26.93,10.52,14.06,32.21,12.94,1693,1837,1687,21.25,31.26,20.74,6.96,16.51,6.37,2.5,4.84,2.37,1.76,4.49,1.61,0.98,1.26,0.94,2.22,4.13,2.1,4.87,5.22,4.47,745,669.0,749,428,563,417,2.39,4.56,2.26
330,MO,24.08,50.72,20.92,31.77,60.94,28.25,1971,2198,1921,25.38,35.91,24.42,11.65,19.93,10.57,3.9,9.22,3.52,4.17,10.79,3.57,1.6,2.88,1.51,6.52,13.46,5.69,9.85,12.55,9.08,699,589.0,714,853,1028,826,18.98,34.91,17.08
331,MS,31.71,43.79,26.11,38.34,50.63,32.48,1791,1784,1815,32.21,37.31,30.39,13.81,17.97,11.27,6.78,10.41,5.77,7.06,10.39,5.65,3.23,4.33,2.64,7.79,9.5,6.94,14.34,16.54,12.52,663,617.0,675,883,1001,826,19.33,22.5,17.57
332,MT,16.82,47.72,15.65,21.89,51.63,20.76,1733,1896,1726,23.87,35.87,23.59,10.02,20.75,9.55,2.94,9.56,2.91,2.22,13.33,1.86,1.11,0.0,1.08,2.71,5.42,2.56,4.56,0.0,4.63,724,602.0,727,799,1122,779,13.01,25.38,12.44
333,NC,25.18,35.56,21.18,34.51,46.38,29.78,1615,1696,1556,28.14,34.09,26.08,10.72,14.23,8.75,5.11,8.04,4.23,4.92,7.36,3.86,1.83,2.84,1.57,5.48,7.55,4.62,5.59,5.65,5.45,690,651.0,713,731,692,746,21.11,26.36,18.81
334,ND,14.61,35.05,13.91,16.63,40.84,15.82,1883,1018,1962,24.85,38.16,24.64,7.76,0.0,7.84,2.77,5.05,2.69,2.04,2.7,1.97,1.31,0.0,1.3,4.47,6.75,4.37,11.61,0.0,11.18,730,641.0,732,541,0,533,6.11,8.68,5.97
335,NE,15.77,32.01,13.81,19.18,39.4,16.94,2140,1956,2229,23.58,30.36,22.94,6.85,16.49,6.42,3.38,8.16,3.11,2.15,5.38,1.88,1.26,3.39,1.12,3.72,5.72,3.45,8.25,4.88,8.73,728,653.0,737,789,710,785,7.55,13.53,6.7
336,NH,13.67,0.0,13.64,19.17,0.0,19.14,1701,0,1698,22.97,0.0,22.98,7.74,0.0,7.74,3.01,0.0,3.01,2.0,0.0,2.02,1.46,0.0,1.47,2.43,0.0,2.43,6.7,0.0,6.58,736,0.0,736,538,0,531,7.88,0.0,7.84
337,NJ,17.8,29.3,11.83,24.18,36.37,17.8,1357,1286,1445,23.49,29.11,21.15,8.61,12.94,6.32,3.38,5.5,2.51,2.47,4.75,1.59,1.76,2.63,1.53,2.43,3.45,1.86,8.92,10.06,7.4,722,671.0,745,529,550,500,12.91,19.17,9.67
338,NM,25.28,30.53,14.93,33.98,39.77,22.21,1723,1680,1584,27.26,29.9,21.85,13.78,15.88,10.74,4.11,4.57,2.97,5.03,6.06,2.9,1.92,2.34,0.67,8.63,10.72,4.15,8.6,8.42,12.26,675,663.0,738,734,713,760,17.56,19.82,12.01
339,NV,26.46,36.94,17.88,34.61,45.68,25.31,2138,1952,2226,28.7,33.86,24.94,13.97,19.16,10.52,4.88,6.72,3.44,4.09,6.62,2.44,1.03,1.57,0.67,9.29,12.42,6.16,18.69,20.16,16.56,678,647.0,722,885,790,1031,18.23,22.46,14.92
340,NY,17.16,24.21,13.38,21.88,29.11,18.13,1719,1719,1769,24.28,29.79,22.02,9.19,12.89,7.23,3.79,5.79,2.89,2.69,4.53,2.04,1.95,3.01,1.7,1.72,2.45,1.43,3.61,4.2,2.81,722,678.0,742,478,439,494,6.56,5.83,7.13
341,OH,23.61,47.28,20.24,31.48,56.42,27.91,1478,1407,1496,25.19,35.66,24.16,11.18,19.43,9.81,3.92,8.44,3.48,3.6,9.15,2.95,1.56,4.16,1.42,7.67,12.8,6.95,8.56,10.71,7.9,698,606.0,715,664,680,658,16.79,22.49,15.91
342,OK,29.28,48.12,26.22,36.74,56.39,33.51,2209,2183,2199,28.74,34.66,28.01,14.77,25.0,13.38,4.58,7.66,4.23,4.86,7.19,4.42,2.0,3.35,1.81,5.76,6.95,5.35,13.98,14.34,13.65,674,599.0,679,1154,1316,1128,22.07,34.82,20.23
343,OR,14.79,0.0,14.2,18.31,0.0,17.64,1556,0,1561,23.09,0.0,22.89,10.1,0.0,9.66,2.82,0.0,2.77,1.83,0.0,1.76,0.84,0.0,0.81,3.46,0.0,3.36,8.52,0.0,8.7,728,0.0,730,624,0,640,5.99,0.0,5.7
344,PA,18.93,41.2,15.83,25.71,51.16,22.17,1781,1756,1782,24.01,35.77,22.8,10.35,20.19,8.64,3.58,8.33,3.13,2.54,6.27,2.12,1.9,4.28,1.73,3.89,6.94,3.47,3.83,3.86,3.69,724,627.0,737,576,577,576,11.3,16.06,10.63
345,RI,19.05,32.13,15.94,24.0,37.62,20.68,1622,1490,1690,25.16,32.71,23.71,9.23,13.16,8.31,3.6,5.96,3.09,2.74,4.55,2.34,1.93,1.74,1.9,2.71,4.21,2.33,7.92,9.32,6.69,718,659.0,732,550,537,556,6.17,8.67,5.49
346,SC,29.51,43.05,24.66,40.12,55.31,34.53,2121,2048,2144,28.86,35.72,27.03,12.76,17.73,10.74,4.84,7.46,4.05,5.8,9.65,4.35,2.09,3.69,1.84,7.12,9.58,6.14,6.15,6.59,5.52,675,624.0,692,958,887,993,24.71,30.82,22.04
347,SD,13.9,41.32,12.75,16.41,45.71,15.12,2183,1981,2193,24.02,35.97,23.77,6.64,8.0,6.72,3.09,3.7,3.09,2.36,7.09,2.19,1.0,0.0,1.0,3.56,3.96,3.56,9.92,0.0,9.43,730,613.0,735,735,0,734,4.13,7.69,3.93
348,TN,26.76,48.67,23.77,34.26,56.76,31.28,1975,2144,1944,27.03,37.67,25.68,12.35,18.66,11.2,4.33,9.49,3.76,4.52,11.0,3.71,1.82,3.89,1.69,5.88,10.97,5.05,13.52,17.88,12.25,685,596.0,700,989,1070,991,20.24,27.94,19.66
349,TX,29.37,37.26,21.38,40.3,48.82,31.75,2142,2123,2155,29.34,32.79,26.34,11.6,13.51,9.49,4.7,6.02,3.69,5.56,7.44,3.72,1.85,2.53,1.41,6.29,7.75,4.66,8.25,7.99,8.37,672,646.0,704,1032,1101,999,22.16,24.62,19.79
350,UT,16.65,34.29,15.46,20.84,40.59,19.54,2010,1732,2079,25.08,33.0,24.51,9.36,16.82,9.0,3.01,7.67,2.8,2.49,7.55,2.26,0.94,0.56,0.96,4.45,6.4,4.22,9.61,12.31,9.57,720,653.0,725,1045,1029,1061,13.49,24.33,12.74
351,VA,20.83,31.52,18.04,26.56,38.71,23.45,1764,1882,1667,25.69,31.31,24.27,9.21,12.94,7.52,3.59,5.59,3.07,3.02,4.48,2.66,1.38,1.95,1.34,4.57,6.22,4.17,7.44,8.11,7.11,717,667.0,730,774,866,730,15.96,22.89,14.31
352,VT,12.92,0.0,12.88,17.67,0.0,17.61,1658,0,1673,22.3,0.0,22.32,6.59,0.0,6.64,2.48,0.0,2.45,1.84,0.0,1.85,1.64,0.0,1.67,0.62,0.0,0.62,9.23,0.0,9.38,737,0.0,738,582,0,584,5.31,0.0,5.27
353,WA,13.86,19.19,12.66,17.51,23.41,16.1,1840,1819,1819,23.29,25.54,23.09,8.48,10.27,7.92,2.69,4.07,2.47,1.88,2.39,1.68,0.83,1.14,0.8,5.77,7.73,5.14,9.15,8.43,9.05,735,702.0,740,616,681,581,5.48,6.89,5.02
354,WI,16.15,46.25,13.44,20.83,52.79,17.95,1664,1464,1726,21.75,34.26,21.04,8.28,18.29,7.12,2.45,6.67,2.22,2.57,8.56,2.17,1.09,2.86,1.02,4.46,11.95,3.8,8.61,8.15,8.73,738,608.0,746,898,906,898,10.97,22.77,9.84
355,WV,28.62,0.0,28.47,40.12,0.0,40.04,1577,0,1569,28.07,0.0,28.05,13.36,0.0,13.32,4.69,0.0,4.66,3.62,0.0,3.6,2.99,0.0,2.98,4.69,0.0,4.68,3.04,0.0,3.03,675,0.0,675,687,0,685,26.94,0.0,26.91
356,WY,19.42,62.26,19.03,25.29,77.36,24.94,2674,0,2704,25.32,0.0,25.36,8.46,0.0,8.65,3.06,0.0,3.01,3.04,0.0,2.98,1.34,0.0,1.33,4.37,5.66,4.34,12.76,0.0,12.33,717,0.0,718,1607,0,1564,17.32,54.72,17.04
357,AK,21.04,31.94,16.37,25.66,31.66,20.93,2131,1306,2365,31.67,41.65,29.74,10.32,18.71,8.77,2.99,4.57,2.54,1.75,0.57,1.47,1.4,4.09,1.17,0.0,0.0,0.0,0.0,0.0,0.0,706,649.0,725,1363,773,1481,14.06,9.95,12.05
358,AL,28.55,45.75,24.27,36.26,55.6,31.5,1886,1919,1873,29.38,36.76,27.93,11.06,16.2,9.51,4.71,8.76,3.99,5.62,10.86,4.5,1.86,3.19,1.61,0.0,0.0,0.0,0.0,0.0,0.0,675,611.0,689,986,1134,933,18.7,27.06,16.85
359,AR,27.76,45.94,25.05,36.2,55.55,33.31,1661,1798,1637,28.95,36.75,28.13,11.74,17.1,10.64,5.01,9.41,4.6,4.21,9.24,3.63,1.68,3.85,1.51,0.0,0.0,0.0,0.0,0.0,0.0,675,609.0,684,641,652,635,19.36,23.17,18.53
360,AZ,20.63,32.79,14.51,29.09,42.53,22.18,2039,1966,2067,25.8,31.85,23.07,11.03,14.99,9.08,3.49,5.43,2.68,2.93,5.08,2.01,0.91,1.6,0.68,0.0,0.0,0.0,0.0,0.0,0.0,703,655.0,732,919,975,865,15.28,20.59,12.18
361,CA,16.21,19.71,10.86,22.14,26.31,15.67,1838,1846,1695,23.51,25.08,21.14,9.02,10.51,6.81,2.94,3.61,2.1,2.28,2.88,1.3,0.82,0.96,0.65,0.0,0.0,0.0,0.0,0.0,0.0,719,699.0,745,740,762,706,8.3,9.13,6.97
362,CO,16.39,28.78,13.27,22.53,36.93,18.83,1703,1450,1760,24.99,30.4,23.73,8.14,12.16,6.96,2.91,4.82,2.49,2.22,3.94,1.74,0.83,1.39,0.7,0.0,0.0,0.0,0.0,0.0,0.0,729,672.0,743,753,686,775,12.1,19.66,10.15
363,CT,16.67,33.35,11.13,23.16,41.03,17.1,1461,1387,1509,24.8,32.91,22.64,7.33,12.64,5.63,3.31,6.76,2.47,1.87,4.6,1.26,1.56,2.51,1.43,0.0,0.0,0.0,0.0,0.0,0.0,729,659.0,749,532,576,499,10.22,15.23,8.13
364,DC,20.74,30.25,5.49,24.74,35.43,7.35,1534,1597,953,25.74,32.05,17.45,10.11,12.65,4.92,3.77,6.03,1.41,5.79,7.88,1.4,1.11,1.81,0.68,0.0,0.0,0.0,0.0,0.0,0.0,712,668.0,757,596,638,400,6.97,9.55,2.43
365,DE,21.23,36.31,16.94,29.86,47.94,24.45,1756,1869,1638,26.17,35.48,23.81,9.28,12.91,7.42,3.75,6.89,2.79,3.22,5.45,2.59,1.62,3.11,1.15,0.0,0.0,0.0,0.0,0.0,0.0,708,647.0,728,744,870,657,17.47,28.61,14.36
366,FL,22.03,28.11,17.92,31.45,37.99,26.87,2151,2234,2073,27.27,31.28,24.57,10.67,12.02,9.55,4.2,5.6,3.36,2.87,3.74,2.31,1.4,1.86,1.16,0.0,0.0,0.0,0.0,0.0,0.0,696,669.0,721,1006,1025,983,16.78,18.38,15.25
367,GA,27.24,35.96,21.96,36.18,46.45,30.16,1948,2055,1859,30.35,35.57,27.91,11.62,14.73,8.94,4.99,7.41,3.91,4.31,6.0,3.33,1.64,2.21,1.39,0.0,0.0,0.0,0.0,0.0,0.0,675,647.0,696,965,942,988,19.1,21.74,17.43
368,HI,13.82,13.87,18.38,17.91,17.88,20.09,1864,1871,0,24.11,24.12,24.83,8.36,7.99,0.0,2.63,2.62,3.76,2.31,2.42,0.0,1.22,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730,730.0,692,432,435,0,6.27,6.24,2.99
369,IA,15.95,41.94,15.25,21.3,48.06,20.52,1561,1070,1590,22.95,30.54,22.71,8.39,13.85,8.17,2.7,8.77,2.63,1.67,4.82,1.6,1.21,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,732,627.0,735,582,0,585,10.19,15.48,9.8
370,ID,15.64,28.79,15.22,20.62,41.67,20.12,2109,1687,2149,23.94,30.84,23.8,7.92,0.0,7.81,2.8,1.89,2.79,2.06,4.92,2.0,0.85,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,724,667.0,726,935,0,944,11.81,18.94,11.48
371,IL,19.34,34.27,14.75,27.03,43.58,21.9,1486,1499,1514,24.7,31.88,22.97,8.58,14.02,6.88,3.19,6.06,2.52,3.09,5.88,2.33,1.51,2.35,1.37,0.0,0.0,0.0,0.0,0.0,0.0,716,655.0,737,649,649,662,14.55,20.55,12.67
372,IN,21.96,40.2,19.63,29.21,49.78,26.62,1778,1771,1767,26.09,33.83,25.36,10.94,18.86,9.74,3.56,6.83,3.25,3.02,7.24,2.55,1.52,2.56,1.43,0.0,0.0,0.0,0.0,0.0,0.0,697,633.0,709,797,756,807,17.4,27.36,16.2
373,KS,20.69,37.44,17.9,26.91,45.75,23.71,1684,1337,1706,24.98,30.98,24.06,10.28,17.92,9.37,3.26,6.4,2.92,2.39,3.91,2.1,1.28,2.67,1.16,0.0,0.0,0.0,0.0,0.0,0.0,710,648.0,722,841,778,825,17.28,29.14,15.38
374,KY,25.57,59.02,24.14,34.31,69.31,32.79,1282,986,1298,26.47,36.8,26.0,11.77,21.41,11.24,4.1,10.63,3.9,3.42,10.42,3.22,1.7,4.95,1.64,0.0,0.0,0.0,0.0,0.0,0.0,681,555.0,688,520,573,510,18.07,35.03,17.42
375,LA,29.17,40.28,24.28,39.25,52.24,33.67,1862,1889,1857,29.84,34.59,28.14,11.31,14.23,9.52,4.74,6.6,4.09,5.33,7.82,4.28,2.07,2.92,1.88,0.0,0.0,0.0,0.0,0.0,0.0,673,635.0,688,824,830,813,21.34,26.21,19.35
376,MA,13.09,26.31,10.34,17.82,32.81,14.86,1572,1552,1607,22.31,30.65,21.07,6.41,11.37,5.51,2.96,6.16,2.47,1.51,3.09,1.22,1.09,1.74,1.02,0.0,0.0,0.0,0.0,0.0,0.0,738,673.0,749,405,451,385,4.3,6.25,3.9
377,MD,19.71,27.01,14.79,25.95,34.61,20.35,1569,1690,1422,27.09,32.4,24.16,9.0,11.39,6.69,3.77,5.53,2.8,3.24,4.8,2.21,1.57,2.4,1.25,0.0,0.0,0.0,0.0,0.0,0.0,712,673.0,738,522,573,483,11.55,14.26,10.09
378,ME,16.55,0.0,16.52,25.71,0.0,25.68,1636,0,1640,24.0,0.0,24.01,7.77,0.0,7.7,2.5,0.0,2.52,1.48,0.0,1.47,1.52,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,725,0.0,725,857,0,865,16.67,0.0,16.67
379,MI,19.12,43.68,15.65,26.88,54.57,22.95,1391,1660,1310,24.64,36.49,23.49,10.72,21.41,8.87,3.11,8.31,2.61,3.04,11.58,2.13,1.17,2.91,1.07,0.0,0.0,0.0,0.0,0.0,0.0,719,612.0,732,458,477,455,13.55,19.93,12.49
380,MN,10.76,26.77,9.78,13.55,31.65,12.43,1624,1523,1633,21.68,31.1,21.21,6.18,14.63,5.66,2.24,5.13,2.08,1.55,5.07,1.37,0.87,1.81,0.83,0.0,0.0,0.0,0.0,0.0,0.0,746,671.0,750,425,473,419,2.36,4.24,2.25
381,MO,22.38,48.11,19.4,30.59,59.51,27.21,1917,2141,1871,25.32,35.33,24.37,10.09,18.08,9.0,3.57,8.56,3.15,3.62,9.18,3.04,1.36,3.31,1.23,0.0,0.0,0.0,0.0,0.0,0.0,704,601.0,717,855,1038,823,17.86,33.13,16.06
382,MS,29.89,41.18,24.59,37.14,49.12,31.39,1744,1743,1714,31.88,36.25,30.22,12.79,17.31,10.11,5.91,8.68,4.98,6.56,9.79,5.12,2.99,4.08,2.65,0.0,0.0,0.0,0.0,0.0,0.0,667,627.0,678,839,910,790,18.54,21.94,16.74
383,MT,15.88,48.55,14.79,20.64,53.13,19.56,1643,1645,1627,23.99,37.55,23.77,8.47,16.24,8.22,2.43,6.34,2.37,1.91,13.54,1.58,1.06,3.64,1.02,0.0,0.0,0.0,0.0,0.0,0.0,728,600.0,732,764,794,755,11.89,28.57,11.27
384,NC,23.73,33.76,19.88,33.89,45.76,29.27,1616,1661,1593,27.88,33.48,26.06,10.03,12.88,8.26,4.28,6.68,3.56,3.39,5.66,2.61,1.6,2.31,1.37,0.0,0.0,0.0,0.0,0.0,0.0,695,656.0,717,757,746,784,20.91,26.44,18.63
385,ND,13.71,33.76,13.01,16.22,40.06,15.38,1828,955,1904,24.91,37.96,24.65,5.89,10.0,5.74,2.71,7.11,2.63,2.05,3.46,1.93,1.04,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,733,639.0,736,579,595,578,5.16,8.08,5.03
386,NE,14.55,30.23,12.68,18.32,36.69,16.06,2116,2129,2131,23.35,29.77,22.78,5.95,13.39,5.54,2.99,6.83,2.71,1.77,2.81,1.6,1.13,2.82,1.02,0.0,0.0,0.0,0.0,0.0,0.0,730,660.0,738,785,761,785,7.13,11.97,6.34
387,NH,12.36,0.0,12.34,18.03,0.0,18.01,1669,0,1669,22.83,0.0,22.82,6.43,0.0,6.45,2.66,0.0,2.66,1.51,0.0,1.51,1.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,739,0.0,739,498,0,498,6.98,0.0,6.96
388,NJ,16.29,27.03,10.65,22.93,34.52,16.77,1294,1215,1389,23.86,28.98,21.6,7.84,11.74,5.78,3.05,4.82,2.29,2.18,4.17,1.36,1.47,1.94,1.31,0.0,0.0,0.0,0.0,0.0,0.0,724,675.0,746,500,510,486,12.19,18.35,8.97
389,NM,24.04,29.07,13.31,33.21,38.93,20.16,1699,1659,1787,27.45,29.95,22.1,12.31,14.43,9.1,3.34,3.96,2.21,4.21,5.44,1.85,1.63,2.18,0.52,0.0,0.0,0.0,0.0,0.0,0.0,680,667.0,741,742,751,748,17.36,19.86,11.29
390,NV,24.44,34.69,16.55,33.51,44.57,24.59,2078,2018,2052,28.18,32.49,25.05,12.14,16.03,8.98,4.29,6.04,3.05,2.91,4.53,1.8,0.78,1.18,0.66,0.0,0.0,0.0,0.0,0.0,0.0,685,654.0,723,867,830,953,17.71,22.25,14.2
391,NY,16.01,22.61,12.43,21.01,28.05,17.34,1700,1698,1754,24.63,29.76,22.46,8.3,11.45,6.65,3.44,5.28,2.61,2.26,3.98,1.63,1.67,2.64,1.46,0.0,0.0,0.0,0.0,0.0,0.0,724,682.0,743,464,442,474,5.94,5.43,6.39
392,OH,22.19,45.05,19.0,30.5,55.09,27.08,1419,1334,1434,25.33,35.29,24.36,9.95,17.06,8.83,3.6,8.33,3.14,3.28,8.0,2.69,1.49,2.97,1.41,0.0,0.0,0.0,0.0,0.0,0.0,702,616.0,718,657,681,645,16.2,22.07,15.33
393,OK,28.21,46.67,25.16,37.05,55.68,34.02,2030,1973,2029,28.94,34.34,28.32,13.44,21.69,12.05,4.38,7.41,4.0,4.07,6.79,3.66,1.82,3.07,1.7,0.0,0.0,0.0,0.0,0.0,0.0,675,606.0,682,974,1136,942,23.72,36.15,21.91
394,OR,13.68,52.17,13.06,17.4,53.26,16.76,1608,0,1611,23.29,0.0,23.15,9.44,0.0,9.08,2.58,0.0,2.51,1.53,0.0,1.48,0.7,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,730,578.0,732,618,0,630,5.45,17.39,5.15
395,PA,17.5,38.71,14.58,24.68,49.47,21.26,1706,1692,1712,24.07,35.71,22.81,9.19,18.11,7.72,3.3,8.02,2.81,2.23,6.1,1.79,1.62,4.23,1.44,0.0,0.0,0.0,0.0,0.0,0.0,727,636.0,739,550,567,546,10.52,14.74,9.95
396,RI,17.03,29.37,14.09,22.17,34.95,19.02,1607,1341,1741,24.88,32.93,23.28,8.36,12.19,7.47,3.42,6.41,2.83,2.22,4.73,1.76,1.44,1.33,1.39,0.0,0.0,0.0,0.0,0.0,0.0,722,665.0,735,522,499,538,5.5,7.47,4.97
397,SC,27.9,41.97,22.99,39.43,55.8,33.64,2147,2101,2157,28.25,34.64,26.41,11.55,16.62,9.57,4.55,7.07,3.83,5.65,7.77,4.59,1.84,3.63,1.51,0.0,0.0,0.0,0.0,0.0,0.0,675,629.0,699,980,919,1008,24.4,31.31,21.47
398,SD,12.72,38.82,11.66,15.71,46.02,14.44,2292,1740,2342,24.04,35.34,23.82,6.59,13.59,6.44,2.69,5.65,2.61,1.84,10.1,1.59,1.02,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,733,623.0,737,683,804,670,3.4,7.96,3.19
399,TN,25.12,45.36,22.51,33.4,55.57,30.6,1954,2051,1948,26.79,36.12,25.53,11.03,18.67,9.67,3.83,8.37,3.36,3.99,9.29,3.3,1.56,3.08,1.42,0.0,0.0,0.0,0.0,0.0,0.0,690,608.0,704,970,900,1000,19.33,24.33,19.12
400,TX,27.51,35.05,20.08,39.42,47.84,31.13,2077,2048,2097,29.12,31.97,26.66,10.21,11.86,8.31,4.11,5.17,3.26,4.79,6.45,3.23,1.55,2.1,1.22,0.0,0.0,0.0,0.0,0.0,0.0,675,652.0,708,990,1050,965,21.19,23.39,19.1
401,UT,15.63,33.46,14.37,19.98,39.27,18.61,2012,1620,2082,24.81,31.4,24.35,7.99,18.55,7.66,2.64,6.36,2.48,2.03,4.53,1.87,0.88,0.28,0.92,0.0,0.0,0.0,0.0,0.0,0.0,723,658.0,728,1011,879,1033,12.9,24.11,12.07
